kecamatan,jumlah_penduduk,kepadatan_penduduk_km2,rasio_jenis_kelamin,laju_pertumbuhan,persentase_penduduk,provinsi,kabupaten,tahun,source_file
Ciwidey,93100.0,1783.0,105.0,1.92,2.42,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Rancabali,54300.0,356.0,104.9,1.4,1.41,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Pasirjambu,98700.0,503.0,104.4,1.58,2.57,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Cimaung,95400.0,1596.0,103.5,2.19,2.48,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Pangalengan,168000.0,775.0,103.6,1.81,4.37,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Kertasari,76100.0,559.0,104.2,1.41,1.98,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Pacet,130400.0,1363.0,106.9,2.59,3.4,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Ibun,96400.0,1740.0,105.2,2.16,2.51,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Paseh,146800.0,3063.0,106.0,1.8,3.82,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Cikancung,106400.0,2716.0,105.4,2.13,2.77,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Cicalengka,131400.0,3112.0,103.0,1.66,3.42,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Nagreg,62700.0,1486.0,105.2,1.65,1.63,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Rancaekek,191600.0,4246.0,101.3,1.2,4.99,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Majalaya,170300.0,7056.0,105.1,1.33,4.43,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Solokan Jeruk,93200.0,3816.0,104.9,1.61,2.43,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Ciparay,185000.0,3362.0,104.0,1.69,4.82,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Baleendah,277800.0,6825.0,103.0,2.07,7.23,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Arjasari,117200.0,1849.0,103.6,2.65,3.05,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Banjaran,142000.0,3985.0,103.8,1.82,3.7,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Cangkuang,86900.0,3677.0,103.6,2.49,2.26,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Pameungpeuk,95600.0,6640.0,103.1,2.7,2.49,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Katapang,138700.0,8535.0,103.1,2.31,3.61,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Soreang,123200.0,4921.0,103.2,1.35,3.21,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Kutawaringin,112900.0,2364.0,104.1,2.12,2.94,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Margaasih,154500.0,8510.0,102.9,1.33,4.02,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Margahayu,121000.0,11353.0,100.9,0.55,3.15,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Dayeuhkolot,106400.0,9433.0,103.0,0.49,2.77,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Bojongsoang,112100.0,3960.0,101.8,1.66,2.92,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Cileunyi,183000.0,5963.0,101.8,1.67,4.76,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Cilengkrang,55400.0,1578.0,103.0,1.82,1.44,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Cimenyan,113100.0,2373.0,103.4,1.35,2.95,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Bandung,3839700.0,2215.0,103.6,1.74,100.0,Jawa Barat,Kabupaten Bandung,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bandung\data_penduduk_kabupate_001.xlsx
Setu,201835000.0,3247.0,106.0,5.62,6.17,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Serang Baru,168853000.0,2647.0,103.0,4.52,5.16,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Cikarang Pusat,70480000.0,1481.0,103.0,1.67,2.15,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Cikarang Selatan,165881000.0,3206.0,100.0,0.97,5.07,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Cibarusah,101910000.0,2022.0,103.0,2.66,3.11,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Bojongmangu,28393000.0,473.0,101.0,0.74,0.87,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Cikarang Timur,110699000.0,2157.0,102.0,1.42,3.38,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Kedungwaringin,74109000.0,2350.0,102.0,2.4,2.26,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Cikarang Utara,224283000.0,5180.0,103.0,-0.74,6.85,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Karangbahagia,135971000.0,2949.0,102.0,3.64,4.15,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Cibitung,258282000.0,5702.0,102.0,2.31,7.89,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Cikarang Barat,201159000.0,3747.0,104.0,-0.74,6.14,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Tambun Selatan,427718000.0,9924.0,101.0,-0.28,13.06,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Tambun Utara,218021000.0,6334.0,103.0,4.26,6.66,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Babelan,291846000.0,4589.0,103.0,2.86,8.91,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Tarumajaya,140225000.0,2567.0,103.0,2.01,4.28,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Tambelang,42329000.0,1117.0,102.0,1.29,1.29,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Sukawangi,51368000.0,765.0,103.0,1.25,1.57,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Sukatani,102277000.0,2726.0,103.0,3.32,3.12,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
Sukakarya,55120000.0,1300.0,102.0,2.13,1.68,Jawa Barat,Kabupaten Bekasi,2023,data\raw\Data Penduduk BPS\Jawa Barat\Kabupaten Bekasi\data_penduduk_kabupate_001.xlsx
