grid_id,grid_lat,grid_lon,year,event_count,mean_mag,max_mag,mean_depth,event_occur
-1.0_100.0,-1.0,100.0,2018,1,5.25,5.25,10.2,1
-1.0_100.0,-1.0,100.0,2020,2,5.21,5.7,79.6,1
-1.0_100.0,-1.0,100.0,2021,2,4.9399999999999995,5.22,10.0,1
-1.0_100.0,-1.0,100.0,2022,1,4.55,4.55,10.0,1
-1.0_100.0,-1.0,100.0,2023,1,4.53,4.53,10.0,1
-1.0_100.0,-1.0,100.0,2024,1,4.63,4.63,10.0,1
-1.0_101.0,-1.0,101.0,2023,1,5.51,5.51,249.5,1
-1.0_102.0,-1.0,102.0,2020,2,5.324999999999999,5.38,249.70000000000002,1
-1.0_102.0,-1.0,102.0,2021,1,4.6,4.6,279.7,1
-1.0_103.0,-1.0,103.0,2019,1,5.64,5.64,10.0,1
-1.0_103.0,-1.0,103.0,2020,2,5.665,6.04,87.65,1
-1.0_103.0,-1.0,103.0,2021,4,5.15,5.3,100.45,1
-1.0_104.0,-1.0,104.0,2020,1,5.49,5.49,10.0,1
-1.0_104.0,-1.0,104.0,2021,1,5.26,5.26,155.3,1
-1.0_105.0,-1.0,105.0,2019,1,5.96,5.96,10.0,1
-1.0_105.0,-1.0,105.0,2021,3,5.953333333333333,6.45,70.03333333333333,1
-1.0_106.0,-1.0,106.0,2019,1,5.68,5.68,10.0,1
-1.0_106.0,-1.0,106.0,2020,5,5.796,6.05,98.6,1
-1.0_106.0,-1.0,106.0,2021,1,5.73,5.73,10.0,1
-1.0_107.0,-1.0,107.0,2019,1,5.67,5.67,175.4,1
-1.0_107.0,-1.0,107.0,2020,4,5.3525,6.0,10.0,1
-1.0_107.0,-1.0,107.0,2021,1,5.61,5.61,10.0,1
-1.0_108.0,-1.0,108.0,2020,2,5.675,5.77,271.9,1
-1.0_108.0,-1.0,108.0,2021,2,5.484999999999999,5.77,125.9,1
-1.0_109.0,-1.0,109.0,2019,1,5.96,5.96,10.0,1
-1.0_109.0,-1.0,109.0,2020,1,5.05,5.05,750.0,1
-1.0_110.0,-1.0,110.0,2020,4,5.8149999999999995,6.05,10.0,1
-1.0_110.0,-1.0,110.0,2021,1,5.69,5.69,10.0,1
-1.0_111.0,-1.0,111.0,2019,1,5.8,5.8,10.0,1
-1.0_111.0,-1.0,111.0,2020,4,5.665,6.14,135.4,1
-1.0_112.0,-1.0,112.0,2020,3,6.0,6.25,117.2,1
-1.0_113.0,-1.0,113.0,2020,3,5.846666666666667,6.29,39.86666666666667,1
-1.0_113.0,-1.0,113.0,2021,1,5.98,5.98,10.0,1
-1.0_114.0,-1.0,114.0,2019,1,6.05,6.05,10.0,1
-1.0_114.0,-1.0,114.0,2020,2,5.385,5.57,7.5,1
-1.0_114.0,-1.0,114.0,2021,3,5.8566666666666665,6.11,10.0,1
-1.0_115.0,-1.0,115.0,2020,2,5.675,5.85,85.0,1
-1.0_115.0,-1.0,115.0,2021,1,5.78,5.78,10.0,1
-1.0_116.0,-1.0,116.0,2020,1,5.97,5.97,389.7,1
-1.0_116.0,-1.0,116.0,2021,2,5.8100000000000005,5.91,10.0,1
-1.0_117.0,-1.0,117.0,2019,1,5.4,5.4,69.6,1
-1.0_117.0,-1.0,117.0,2020,1,5.02,5.02,576.6,1
-1.0_118.0,-1.0,118.0,2019,1,5.79,5.79,10.0,1
-1.0_118.0,-1.0,118.0,2021,1,5.58,5.58,434.3,1
-1.0_119.0,-1.0,119.0,2015,1,4.5,4.5,67.3,1
-1.0_119.0,-1.0,119.0,2017,1,4.76,4.76,13.3,1
-1.0_119.0,-1.0,119.0,2018,18,4.798333333333334,5.33,16.733333333333334,1
-1.0_119.0,-1.0,119.0,2019,2,5.175,5.43,10.0,1
-1.0_119.0,-1.0,119.0,2020,1,5.26,5.26,10.0,1
-1.0_119.0,-1.0,119.0,2021,1,5.72,5.72,10.0,1
-1.0_119.0,-1.0,119.0,2025,1,4.67,4.67,19.8,1
-1.0_120.0,-1.0,120.0,2015,2,4.83,4.86,22.25,1
-1.0_120.0,-1.0,120.0,2016,1,5.09,5.09,10.0,1
-1.0_120.0,-1.0,120.0,2017,1,4.92,4.92,37.6,1
-1.0_120.0,-1.0,120.0,2020,3,5.276666666666666,5.54,10.0,1
-1.0_120.0,-1.0,120.0,2021,1,5.57,5.57,10.0,1
-1.0_120.0,-1.0,120.0,2023,1,4.84,4.84,750.0,1
-1.0_120.0,-1.0,120.0,2025,1,5.07,5.07,10.0,1
-1.0_121.0,-1.0,121.0,2015,4,4.83,5.14,10.0,1
-1.0_121.0,-1.0,121.0,2018,2,4.91,5.08,10.0,1
-1.0_121.0,-1.0,121.0,2019,2,4.96,5.17,10.0,1
-1.0_121.0,-1.0,121.0,2020,2,5.205,5.28,98.75,1
-1.0_121.0,-1.0,121.0,2021,10,5.407,6.29,25.59,1
-1.0_121.0,-1.0,121.0,2022,2,4.93,5.11,10.0,1
-1.0_121.0,-1.0,121.0,2023,1,5.05,5.05,10.0,1
-1.0_122.0,-1.0,122.0,2015,11,4.869090909090909,5.96,62.22727272727273,1
-1.0_122.0,-1.0,122.0,2016,1,4.61,4.61,242.1,1
-1.0_122.0,-1.0,122.0,2017,3,5.006666666666667,5.32,65.06666666666666,1
-1.0_122.0,-1.0,122.0,2018,3,4.843333333333334,5.19,103.39999999999999,1
-1.0_122.0,-1.0,122.0,2019,1,4.86,4.86,252.6,1
-1.0_122.0,-1.0,122.0,2020,7,4.7542857142857144,5.11,47.699999999999996,1
