grid_id,grid_lat,grid_lon,year,event_count,mean_mag,max_mag,mean_depth,event_occur,event_count_next,event_next
-1.0_100.0,-1.0,100.0,2020,2,5.21,5.7,79.6,1,2,1
-1.0_100.0,-1.0,100.0,2021,2,4.94,5.22,10.0,1,1,1
-1.0_100.0,-1.0,100.0,2022,1,4.55,4.55,10.0,1,1,1
-1.0_100.0,-1.0,100.0,2023,1,4.53,4.53,10.0,1,1,1
-1.0_102.0,-1.0,102.0,2020,2,5.324999999999999,5.38,249.7,1,1,1
-1.0_103.0,-1.0,103.0,2019,1,5.64,5.64,10.0,1,2,1
-1.0_103.0,-1.0,103.0,2020,2,5.665,6.04,87.65,1,4,1
-1.0_104.0,-1.0,104.0,2020,1,5.49,5.49,10.0,1,1,1
-1.0_106.0,-1.0,106.0,2019,1,5.68,5.68,10.0,1,5,1
-1.0_106.0,-1.0,106.0,2020,5,5.796,6.05,98.6,1,1,1
-1.0_107.0,-1.0,107.0,2019,1,5.67,5.67,175.4,1,4,1
-1.0_107.0,-1.0,107.0,2020,4,5.3525,6.0,10.0,1,1,1
-1.0_108.0,-1.0,108.0,2020,2,5.675,5.77,271.9,1,2,1
-1.0_109.0,-1.0,109.0,2019,1,5.96,5.96,10.0,1,1,1
-1.0_110.0,-1.0,110.0,2020,4,5.815,6.05,10.0,1,1,1
-1.0_111.0,-1.0,111.0,2019,1,5.8,5.8,10.0,1,4,1
-1.0_113.0,-1.0,113.0,2020,3,5.846666666666667,6.29,39.86666666666667,1,1,1
-1.0_114.0,-1.0,114.0,2019,1,6.05,6.05,10.0,1,2,1
-1.0_114.0,-1.0,114.0,2020,2,5.385,5.57,7.5,1,3,1
-1.0_115.0,-1.0,115.0,2020,2,5.675,5.85,85.0,1,1,1
-1.0_116.0,-1.0,116.0,2020,1,5.97,5.97,389.7,1,2,1
-1.0_117.0,-1.0,117.0,2019,1,5.4,5.4,69.6,1,1,1
-1.0_119.0,-1.0,119.0,2017,1,4.76,4.76,13.3,1,18,1
-1.0_119.0,-1.0,119.0,2018,18,4.798333333333334,5.33,16.733333333333334,1,2,1
-1.0_119.0,-1.0,119.0,2019,2,5.175,5.43,10.0,1,1,1
